sourceid;Buffer;Curb ramps;Lighting;Number of lanes;On-street parking;Width of bike lane and shoulder;Width of sidewalk;services;plos;plos_e
23228983;0;1;16;1;1;0,15;2;1;2,282040823;1,657040823
23229253;0;1,5;7;1;1;0,15;2;0;1,566958037;1,191958037
23450086;0;1;5,5;1;0;0,15;1,2;1;4,027757613;3,652757613
23450307;0;2;7;1;1;0,3;3,5;0;2,427031928;2,052031928
23450309;0;2;3;1;1;0,15;3,5;0;1,133427646;0,758427646
23450310;0;1;6;1;0,9;0,15;1,5;0;1,667100311;1,292100311
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450312;0;0;4;1;0,8;0,15;1,5;1;1,754322539;1,504322539
23450361;0;1;6;1;1;0,15;3,5;1;2,188600182;1,688600182
23450442;1;1;9;1;1;0,15;1;1;3,019086189;2,394086189
23450443;1;1;6;1;1;0,15;2;1;1,475995501;1,100995501
23450444;0;1;1;1;1;0,15;2;0;1,532764787;1,157764787
34587912;0,3;1;1;1;1;0,35;4,5;0;2,49283103;2,24283103
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
59228548;0;1;16;1;1;0,15;2;0;2,621038573;2,371038573
141332059;0;1,5;4;1;0;0,3;1;0;4,413685402;4,038685402
147963534;1;1;9;1;1;0,15;1;0;1,522358903;1,272358903
211245922;0;2;1;1;0;0,3;1;1;3,756597152;3,381597152
265635866;0;1;1;1;1;0,15;2;1;1,582723787;1,207723787
265635871;0;1;6;1;0,9;0,15;1,75;0;1,317303497;1,067303497
265635872;0;2;6;1;1;0,15;3,5;1;1,133427646;0,508427646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265635874;0;1;4;1;1;0,15;3,5;1;1,810285646;1,310285646
265929583;0;1;5,5;1;0;0,15;1,2;0;2,084243077;1,834243077
265929584;1,6;2;6;1;1;0,15;3;0;1,80034909;1,42534909
265929585;0;1;1;1;0;0,3;1,5;0;3,757316021;3,507316021
265929586;0;2;1;1;0;0,3;1;1;4,099803652;3,724803652
265929587;0;1;1;1;1;0,3;2;0;2,765698058;2,515698058
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929588;0;1;1;1;0;0,3;3,5;0;4,756384088;4,506384088
265929589;0;1;1;1;1;0,3;2;0;2,438644058;2,188644058
265929591;0;1;1;1;1;0,3;2;0;2,765698058;2,390698058
271626108;0,1;0;4;1;1;0,15;1,5;1;1,352099566;0,977099566
271626109;0,1;0;4;1;1;0,15;1,5;1;0,855922066;0,605922066
286868369;0;2;6;1;0;0,15;1,2;1;3,348442613;2,848442613
286868370;0;2;7;1;0;0,225;2,85;1;3,593133853;3,093133853
